,world_index,X,Y
1865,977,2917,1115
1866,977,2922,1122
1867,978,2908,1127
1868,978,2918,1128
1869,979,2899,1147
1870,979,2908,1155
1871,980,2947,1114
1872,980,2951,1116
1873,981,2872,1078
1874,981,2875,1082
1875,982,2905,1002
1876,982,2909,1005
1877,983,2926,1017
1878,983,2928,1017
1879,984,2865,1134
1880,984,2868,1133
1881,985,2890,995
1882,985,2893,993
1883,986,2860,1125
1884,986,2863,1125
1885,987,2878,1116
1886,987,2878,1116
1887,988,2863,1196
1888,988,2865,1195
1889,989,2908,1044
1890,989,2909,1043
1891,990,2919,1126
1892,990,2918,1123
1893,991,2919,1117
1894,991,2917,1114
1895,992,2943,1041
1896,992,2949,1043
1897,993,2967,1080
1898,993,2976,1073
1899,994,2939,1032
1900,994,2944,1030
1901,995,2961,1027
1902,995,2964,1027
1903,996,2909,1021
1904,996,2912,1020
1905,997,2984,1063
1906,997,2987,1062
1907,998,2954,1024
1908,998,2958,1023
1909,999,2932,1053
1910,999,2936,1050
1911,1000,2933,1016
1912,1000,2937,1014
1913,1001,2969,1023
1914,1001,2964,1046
1915,1002,3004,1035
1916,1002,3011,1012
1917,1003,2946,1023
1918,1003,2943,1026
1919,1004,3123,1234
1920,1004,3126,1235
1921,1005,2958,1038
1922,1005,2874,1008
1923,1006,2813,969
1924,1006,2776,957
1925,1007,2775,970
1926,1007,2773,965
1927,1008,2741,941
1928,1008,2741,941
1929,1009,2711,977
1930,1009,2709,982
1931,1010,2770,942
1932,1010,2759,942
1933,1011,2567,987
1934,1011,2567,987
1935,1012,2712,928
1936,1012,2711,930
1937,1013,2671,944
1938,1013,2672,944
1939,1014,2635,954
1940,1014,2633,959
1941,1015,2670,937
1942,1015,2670,941
1943,1016,2678,941
1944,1016,2679,941
1945,1017,2738,939
1946,1017,2747,929
1947,1018,2691,929
1948,1018,2697,920
1949,1019,2745,909
1950,1019,2746,909
1951,1020,2749,907
1952,1020,2751,906
1953,1021,2682,940
1954,1021,2682,940
1955,1022,2695,916
1956,1022,2697,914
1957,1023,2731,908
1958,1023,2732,910
1959,1024,2744,913
1960,1024,2746,911
1961,1025,2691,928
1962,1025,2681,999
1963,1026,2652,1080
1964,1027,2553,1157
1965,1027,2545,1139
1966,1028,2604,1028
1967,1028,2603,1014
1968,1029,2639,1058
1969,1029,2640,1047
1970,1030,2579,1025
1971,1030,2583,1013
1972,1031,2574,1010
1973,1031,2571,1018
1974,1032,2545,1066
1975,1032,2538,1082
1976,1033,2623,1088
1977,1033,2624,1089
1978,1034,2609,1144
1979,1034,2612,1138
1980,1035,2590,1099
1981,1035,2595,1092
1982,1036,2498,1149
1983,1036,2504,1150
1984,1037,2638,1212
1985,1037,2641,1208
1986,1038,2589,1105
1987,1038,2591,1102
1988,1039,2528,1200
1989,1039,2560,1204
1990,1040,2453,1229
1991,1040,2456,1235
1992,1041,2631,1132
1993,1041,2634,1131
1994,1042,2710,1138
1995,1042,2711,1137
1996,1043,2792,1274
1997,1048,1675,1964
1998,1049,2755,1055
1999,1049,2747,1056
2000,1050,3335,864
2001,1050,3335,864
2002,1051,2445,1099
2003,1051,2457,1097
2004,1052,2198,1042
2005,1052,2193,1041
2006,1053,3420,248
2007,1053,3461,209
2008,1054,2944,982
2009,1054,2919,991
2010,1055,2238,961
2011,1055,2266,990
2012,1056,1949,997
2013,1056,2047,1003
2014,1057,2119,902
2015,1057,2057,948
2016,1058,2021,935
2017,1058,2026,941
2018,1059,2016,998
2019,1059,2061,972
2020,1060,1998,1028
2021,1060,2012,1045
2022,1061,2084,973
2023,1061,2111,955
2024,1062,2088,945
2025,1062,2103,918
2026,1063,2085,919
2027,1063,2100,915
2028,1064,2095,921
2029,1064,2093,929
