world_index,X,Y
427,2303.0,128.0
427,2324.0,123.0
428,2301.0,123.0
428,2295.0,130.0
429,2279.0,130.0
429,2279.0,127.0
429,2263.0,121.0
429,2263.0,120.0
429,2264.0,126.0
429,2265.0,124.0
430,2277.0,116.0
430,2276.0,122.0
430,2269.0,124.0
430,2277.0,127.0
430,2262.0,42.0
430,2259.0,43.0
431,2273.0,135.0
431,2275.0,135.0
431,2252.0,136.0
431,2246.0,139.0
431,2245.0,146.0
431,2245.0,145.0
432,2151.0,124.0
432,2142.0,123.0
432,2219.0,118.0
432,2218.0,122.0
432,2249.0,147.0
432,2262.0,159.0
432,2251.0,181.0
432,2250.0,186.0
433,2266.0,176.0
433,2263.0,180.0
433,2261.0,227.0
433,2264.0,221.0
433,2257.0,145.0
433,2275.0,186.0
434,2070.0,334.0
434,2075.0,335.0
434,2289.0,192.0
434,2289.0,188.0
434,2285.0,194.0
434,2284.0,193.0
434,2291.0,192.0
434,2293.0,192.0
435,2301.0,181.0
435,2306.0,172.0
435,2322.0,188.0
435,2324.0,184.0
435,2315.0,158.0
435,2142.0,315.0
436,2323.0,154.0
436,2322.0,162.0
436,2334.0,173.0
436,2330.0,181.0
437,2257.0,197.0
437,2253.0,205.0
437,2320.0,159.0
437,2317.0,161.0
438,2267.0,171.0
438,2277.0,154.0
438,2327.0,188.0
438,2324.0,187.0
439,2362.0,138.0
439,2359.0,135.0
440,2272.0,199.0
440,2273.0,163.0
441,2363.0,15.0
441,2373.0,-7.0
442,2391.0,33.0
442,2386.0,36.0
443,2312.0,41.0
443,2313.0,44.0
444,2273.0,-4.0
444,2257.0,-23.0
445,2364.0,42.0
445,2237.0,123.0
446,2170.0,51.0
446,2165.0,61.0
447,2156.0,53.0
447,2158.0,56.0
448,2092.0,34.0
448,2078.0,31.0
449,2228.0,188.0
449,2316.0,-37.0
450,2808.0,-111.0
451,2840.0,-155.0
451,2726.0,-18.0
452,2829.0,-48.0
452,2758.0,14.0
454,2794.0,-45.0
456,2765.0,0.0
456,2753.0,22.0
458,3063.0,-312.0
458,2980.0,-108.0
459,2823.0,-29.0
459,2742.0,96.0
460,2958.0,51.0
460,3255.0,-21.0
461,3155.0,20.0
461,3239.0,110.0
462,2442.0,613.0
462,2442.0,613.0
463,2793.0,1054.0
463,2796.0,1056.0
463,3259.0,271.0
