world_index,X,Y
98,367.2561340332031,195.72592163085938
99,363.81365966796875,188.6614990234375
100,367.29962158203125,195.47425842285156
101,365.649658203125,195.84922790527344
102,374.1417541503906,194.4566192626953
103,367.5018615722656,194.7454833984375
104,367.44873046875,193.81773376464844
105,367.8092041015625,194.60011291503906
106,367.620849609375,194.37814331054688
107,367.2161865234375,193.6616668701172
108,366.1221008300781,194.33480834960938
109,364.5187683105469,194.70901489257812
110,364.07598876953125,195.47463989257812
111,361.4781799316406,195.44857788085938
112,360.0152282714844,196.48141479492188
113,358.40582275390625,198.0094451904297
114,358.57012939453125,199.33184814453125
115,357.310546875,199.97511291503906
116,356.6185607910156,201.32675170898438
117,356.08135986328125,201.78086853027344
118,355.57330322265625,203.41873168945312
119,355.370361328125,203.18844604492188
120,355.2232971191406,202.74281311035156
121,356.2180480957031,203.28175354003906
122,357.2445373535156,202.15162658691406
123,358.20709228515625,203.82749938964844
124,360.152587890625,201.37533569335938
125,361.88330078125,202.13609313964844
126,362.9901428222656,200.60853576660156
127,364.5971374511719,199.8547821044922
128,366.1650085449219,199.181884765625
129,367.93280029296875,198.3570098876953
130,373.9430236816406,188.48692321777344
131,,
132,,
133,,
134,,
135,,
136,,
137,428.57830810546875,197.96482849121094
138,436.2839050292969,197.58123779296875
139,436.49029541015625,212.65440368652344
140,431.7911071777344,214.9039306640625
141,-2902.978271484375,782.30078125
142,388.95556640625,268.6195373535156
143,422.88568115234375,217.17529296875
144,426.5184326171875,215.1722869873047
145,433.746826171875,213.69444274902344
146,401.89508056640625,217.7462921142578
147,418.745361328125,222.88365173339844
148,409.16949462890625,228.01132202148438
149,,
150,406.61578369140625,260.59674072265625
151,436.4328308105469,225.27774047851562
152,406.6095275878906,231.3013153076172
153,404.1147155761719,232.6761016845703
154,409.43975830078125,243.6949005126953
155,419.40997314453125,239.67283630371094
156,388.5969543457031,239.14584350585938
157,380.8432312011719,239.1345977783203
158,399.4605407714844,231.6051025390625
159,408.20172119140625,244.61404418945312
160,399.00091552734375,236.36016845703125
161,398.7984924316406,229.96542358398438
162,485.7547607421875,229.06983947753906
163,408.2660217285156,215.70529174804688
164,485.2943420410156,228.35948181152344
165,397.8014221191406,235.01300048828125
166,485.1846008300781,230.77542114257812
167,388.7154541015625,242.23806762695312
168,485.59344482421875,228.93223571777344
169,391.0438232421875,225.6479949951172
170,472.126220703125,222.23513793945312
171,485.73345947265625,229.2473602294922
172,494.08929443359375,230.95654296875
173,478.8923645019531,229.08192443847656
174,485.5750732421875,228.9189453125
175,485.7748718261719,229.1142120361328
176,398.8538513183594,233.8159637451172
177,484.7900390625,229.05587768554688
178,399.51080322265625,236.77944946289062
179,396.8702087402344,235.86016845703125
180,485.5599060058594,228.9275360107422
181,485.56243896484375,228.9181671142578
182,485.6463623046875,229.39576721191406
183,485.5758056640625,228.86643981933594
184,477.9200439453125,226.0941925048828
185,399.082763671875,236.2159881591797
186,485.5792236328125,228.92007446289062
187,493.3378601074219,231.64732360839844
188,395.7641906738281,230.00010681152344
189,399.7148132324219,239.6296844482422
190,388.4892883300781,235.27224731445312
191,485.34002685546875,228.92245483398438
192,396.63067626953125,231.2073974609375
193,486.4388122558594,229.44903564453125
194,458.0555725097656,229.9730224609375
195,485.32550048828125,229.08692932128906
196,883.0831909179688,367.8989562988281
197,400.4465026855469,235.3932647705078
198,388.2477722167969,250.87338256835938
199,388.20745849609375,251.10623168945312
200,485.8348388671875,228.75347900390625
201,393.16070556640625,232.90528869628906
202,399.4346923828125,232.73635864257812
203,398.3926086425781,233.02578735351562
204,382.841064453125,248.3146514892578
205,485.28662109375,228.40631103515625
206,486.2261047363281,228.73562622070312
207,485.40399169921875,228.8133087158203
208,485.570556640625,228.92010498046875
209,485.2885437011719,228.8942413330078
210,399.9829406738281,238.55136108398438
211,399.2438659667969,236.18177795410156
212,393.2222595214844,228.70089721679688
213,394.49334716796875,233.02609252929688
214,392.875244140625,232.8475341796875
215,390.6134948730469,231.42770385742188
216,390.6432189941406,230.7014923095703
217,389.7969665527344,229.90333557128906
218,390.0075378417969,228.06236267089844
219,390.69671630859375,223.87240600585938
220,388.1792907714844,225.33303833007812
221,386.2419128417969,224.1820068359375
222,386.62921142578125,223.53515625
223,386.01220703125,223.0059814453125
224,484.8663024902344,228.26507568359375
225,384.9503479003906,222.16683959960938
226,485.64227294921875,228.96995544433594
227,384.5434875488281,221.8739471435547
228,485.72747802734375,228.9203338623047
229,382.98095703125,220.83998107910156
230,382.36187744140625,220.82508850097656
231,381.5927734375,220.38800048828125
232,381.18206787109375,220.4007110595703
233,380.5022277832031,220.4375762939453
