,world_index,X,Y
35421,19426,2397.0,1073.0
35422,19427,1804.0,1704.0
35423,19427,1811.0,1692.0
35424,19428,2389.0,1073.0
35425,19428,2389.0,1074.0
35426,19429,2375.0,1082.0
35427,19429,2375.0,1081.0
35428,19430,2383.0,1073.0
35429,19430,2400.0,1045.0
35430,19431,2412.0,1032.0
35431,19431,2398.0,1061.0
35432,19432,2393.0,1060.0
35433,19432,2393.0,1060.0
35434,19433,2406.0,1053.0
35435,19433,2406.0,1056.0
35436,19434,2406.0,1064.0
35437,19434,2423.0,1031.0
35438,19435,2425.0,1031.0
35439,19435,2426.0,1032.0
35440,19436,2418.0,1037.0
35441,19436,2418.0,1039.0
35442,19437,2409.0,1045.0
35443,19437,2413.0,1044.0
35444,19438,2423.0,1039.0
35445,19438,2420.0,1041.0
35446,19439,2427.0,1041.0
35447,19439,2428.0,1042.0
35448,19440,2401.0,1084.0
35449,19440,2400.0,1085.0
35450,19441,2379.0,1101.0
35451,19441,2398.0,1057.0
35452,19442,2358.0,1063.0
35453,19442,2340.0,1072.0
35454,19443,2363.0,1087.0
35455,19443,2363.0,1087.0
35456,19444,2296.0,1065.0
35457,19444,2295.0,1067.0
35458,19445,2373.0,1096.0
35459,19445,2388.0,1059.0
35460,19446,2390.0,1049.0
35461,19447,2407.0,1040.0
35462,19448,2399.0,1051.0
35463,19448,2397.0,1054.0
35464,19449,2398.0,1057.0
35465,19449,2395.0,1060.0
35466,19450,2246.0,1040.0
35467,19450,2229.0,1046.0
35468,19451,2337.0,1078.0
35469,19451,2334.0,1080.0
35470,19452,2325.0,1084.0
35471,19452,2324.0,1086.0
35472,19454,2394.0,1037.0
35473,19454,2400.0,1052.0
35474,19455,2299.0,1081.0
35475,19455,2306.0,1095.0
35476,19458,2435.0,906.0
35477,19458,2464.0,858.0
35478,19459,2456.0,778.0
35479,19459,2461.0,749.0
35480,19460,2478.0,747.0
35481,19460,2478.0,745.0
35482,19461,2470.0,736.0
35483,19461,2468.0,741.0
35484,19462,2476.0,727.0
35485,19462,2475.0,733.0
35486,19463,2497.0,719.0
35487,19463,2496.0,720.0
35488,19464,2486.0,706.0
35489,19464,2485.0,713.0
35490,19465,2471.0,724.0
35491,19465,2471.0,727.0
35492,19466,2518.0,695.0
35493,19466,2523.0,698.0
35494,19467,2610.0,703.0
